row_id,final_decision,_source,screening_tier,signal_count,trigger_reason,veto_any,CI,flag_dur_low,flag_dur_high,flag_md,flag_long,flag_dkna,DUR,MD_d2,LS_run,DKNA_count,ID,DATE,DAY,HOUR,CODINT,SEXINT,MODE,PHASE20,PHASE2,NUTS1,REGION,CPRO,CMUN,MUNICIPALITY,HABT,HABT5,P26,P01,P02A,P02B,P02C,P02D,P02E,P03,P04,P05,P06,P07,P07B,P07Ctx,P07C1,P07C2,P07C3,P07C4,P07D1,P07D2,P07D3,P07D4,P07D5,P07D6,P08,P09,P09B,VP09B,P10tx,P10_1,P10_2,P10_3,P10_4,P10B,P11A,P11B,P11C,P11D,P11E,P12,P12Btx,P12B_1,P12B_2,P12B_3,P12B_4,P13,P13B,P13C,P14,P15,P16,P16Btx,P16B_1,P16B_2,P16B_3,P16B_4,P17,P17B,P17C,P18,P19,P19B,P20,P20B,P21A,P21B,P21C,P21D,P22,P23,P24tx,P24,P25,P27,P27B,P27C,P28,P28_1,P28_2,P28_3,P28_4,P28B,P29,WEIGHT20,WEIGHT2,WEIGHT
3350,valid,nonsignal,NORMAL,0,,0,0,0,0,0,0,0,16.7,3.1161445059674153,5,0,3350,03 Mar 19,03 Mar 19,10,Victoria,Administered by female interviewer,CATI,7.0,Before March 8th,"Noreste (País Vasco, Navarra, Aragón)",PAIS VASCO,Vizcaya,48020,Bilbao,Municipalities >=10K pop.,">100,000 pop.",48014,Quite,Everyday or almost everyday (5-7),Never,Never,Never,Less (almost never),6,Very,Take to the strees to demonstrate,Quite,"Yes, a little",Quite,"3, 7",Personal conversations,Street posters,,,Quite,Very often,Very often,Quite,Yes,,Quite necessary,Rather positive,Hope,Descendent categories,"TODAS LAS DEMANDAS, NO SABE DECIR NINGUNA EN CONCRETO",ALL,,,,Quite capable,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Maybe,1,IWD demonstration,,,,No,No,,No,No,"Yes, in one","MARTA DEL CASTILLO, 3",Sexist murder (protests for specific murders),,,,Yes,5,No,5,"No, because he/she couldn't",Abstained,Unidos Podemos,,Never,,,,Woman,53.0,1,Working full time,"COU, BUP, Higher Baccalaurate",No partner,,,3,Yes,No,Yes,No,Only son/s,"Yes, call him/her",0.759999999999873,0.9543568464670732,0.9266666666664668
3360,valid,nonsignal,NORMAL,0,,0,0,0,0,0,0,0,11.4,4.1259481061351,3,0,3360,27 Feb 19,27 Feb 19,19,Raúl,Administered by male interviewer,CATI,3.0,Before March 8th,"Centro (Castilla y León, Castilla-La Mancha, Extremadura)",CASTILLA-LEON,León,24089,León,Municipalities >=10K pop.,">100,000 pop.",24000,Quite,Everyday or almost everyday (5-7),Less (almost never),Never,Never,3 or 4 days (quite a lot),5,Quite,Voting in elections,Quite,"Yes, very much",No interest,"1, 2",TV,Social networks,,,Little,Little,Not at all,Not at all,Yes,,Very necessary,Rather positive,Pride,Descendent categories,"VIOLENCIA DE GENERO, IGUALDAD ENTRE HOMBRES Y MUJERES EN SALARIOS, Y EN TODO EN GENERAL",Gender-based violence,Equal pay,ALL,,Not very capable,Strongly disagree,Strongly agree,Agree,Agree,Agree,Yes,1,IWD demonstration,,,,No,No,,Yes,No,"Yes, in one",1,25th Novemeber (sexual violence),,,,Yes,8,No,2,Was not old enough to vote,Not in electoral census,Unidos Podemos,,1-2 days a week/weekends,Yes,Yes,Yes,Woman,20.0,9,Student,"COU, BUP, Higher Baccalaurate",No partner,,,1,No,No,No,No,,"Yes, call him/her",1.37499999999977,1.023076923075037,0.9756097560973508
3369,valid,nonsignal,NORMAL,0,,0,0,0,0,0,0,0,11.3,3.073607949088509,3,0,3369,27 Feb 19,27 Feb 19,17,Eva,Administered by female interviewer,CATI,3.0,Before March 8th,Comunidad de Madrid,MADRID,Madrid,28079,Madrid,Municipalities >=10K pop.,">100,000 pop.",28025,Not at all,Everyday or almost everyday (5-7),3 or 4 days (quite a lot),1 or 2 days/weekends,Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),1,Very,Both are useful,Not capable,"Yes, very much",Hardly,"2, 6",Social networks,Newspapers,,,Very often,Quite,Very often,Little,Yes,,Very necessary,Rather positive,Solidarity,Descendent categories,TODAS,ALL,,,,Very capable,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Maybe,"1, 2",IWD demonstration,Work strike,,,Yes,,Since before,Yes,Yes,"Yes, in two or more",10,"Other issues not linked to gender inequality (labour, neighbourhood)",,,,Yes,9,Yes,Extreme left,Yes,Unidos Podemos,Unidos Podemos,,1-2 days a week/weekends,Yes,Yes,Yes,Man,37.0,1,Working full time,"FP2, Higher Vocational Training, Conservatoire 10 years",Yes,Greater participation by me,Woman,1,No,No,No,No,,"Yes, by SMS",0.7142857142855952,0.8540145985348291,0.8429423459242716
3371,valid,queue,MEDIUM,1,longstring,0,1,0,0,0,1,0,10.7,1.3137918149468457,7,2,3371,01 Mar 19,01 Mar 19,14,María,Administered by female interviewer,CATI,5.0,Before March 8th,"Sur (Andalucía, Murcia, Ceuta y Melilla)",ANDALUCIA,Huelva,21041,Huelva,Municipalities >=10K pop.,">100,000 pop.",21003,Quite,Everyday or almost everyday (5-7),1 or 2 days/weekends,Everyday or almost everyday (5-7),Less (almost never),Everyday or almost everyday (5-7),Completely satisfied,Very,Voting in elections,Little,"Yes, quite a lot",Hardly,1,TV,,,,Little,Quite,Very often,Very often,No,No,Quite necessary,Rather positive,Hope,Descendent categories,TODAS,ALL,,,,Quite capable,Disagree,Agree,Agree,Agree,Agree,Yes,DAR COBERTURA TELEVISIVA A LAS MANIFESTACION,Support in social networks,,,,No,Yes,,No,Yes,No, ,,,,,Yes,Has no sympathy whatsoever,No,5,Yes,PP,DK,DK,Never,,,,Man,51.0,1,Working full time,"FP2, Higher Vocational Training, Conservatoire 10 years",Yes,It is fine as it is,Woman,4,Yes,No,No,Yes,Only daughter/s,"Yes, call him/her",0.9090909090907572,0.8540145985348291,0.8429423459242716
3394,invalid,queue,MEDIUM,1,DKNA,0,1,0,0,0,0,1,10.1,6.089136452044997,4,4,3394,26 Feb 19,26 Feb 19,14,Alejandro,Administered by male interviewer,CATI,2.0,Before March 8th,"Centro (Castilla y León, Castilla-La Mancha, Extremadura)",CASTILLA-LEON,León,24088,Laguna de Negrillos,Municipalities <10K pop.,<5k pop.,24234,Quite,1 or 2 days/weekends,Never,Never,Everyday or almost everyday (5-7),1 or 2 days/weekends,3,Quite,Voting in elections,Quite,"Yes, quite a lot",Quite,6,Newspapers,,,,Quite,Very often,Doesn't have social networks,,Yes,,Quite necessary,Rather positive,Hope,Ascedent categories,0,,,,,Quite capable,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,No, ,,,,,No,DK,,No,No,No, ,,,,,Yes,Fully sympathises,No,5,Yes,PSOE,DK,PSOE,Have no networks,,,,Man,64.0,"4, PREJUBILADO",Retired or pensioner (previously worked),Primary school (or has attended school for 5 years or more),Yes,It is fine as it is,Woman,3,Yes,No,Yes,No,Both (sons and daughters),"Yes, call him/her",0.999999999999833,0.9857819905151366,0.9973614775723444
3398,valid,nonsignal,NORMAL,0,,0,0,0,0,0,0,0,13.1,,5,0,3398,26 Feb 19,26 Feb 19,21,David,Administered by male interviewer,CATI,2.0,Before March 8th,"Noreste (País Vasco, Navarra, Aragón)",PAIS VASCO,Guipuzcoa,20045,Irun,Municipalities >=10K pop.,"20,000-99,999 pop.",20303,Not at all,Everyday or almost everyday (5-7),Less (almost never),Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),1 or 2 days/weekends,Na,Quite,None are useful,Not capable,"Yes, quite a lot",A lot,"1, 5, 6",TV,Radio,Newspapers,,Very often,Very often,Very often,Very often,No,No,Not at all necessary,No feelings,,,0,,,,,Very capable,Strongly disagree,,,Neither agree nor disagree,Neither agree nor disagree,No, ,,,,,No,Yes,,No,No,"Yes, in two or more",88,DK,,,,Yes,Has no sympathy whatsoever,No,,Yes,,,,Every or almost every day,Yes,Yes,Yes,Man,52.0,1,Working full time,"University graduate (Diploma, Bachelor, Degree, Master, PhD)",Yes,It is fine as it is,Woman,"3, 4",Yes,No,Yes,Yes,Both (sons and daughters),"Yes, call him/her",0.8695652173911591,0.8540145985348291,0.8429423459242716
3399,valid,nonsignal,NORMAL,0,,0,0,0,0,0,0,0,11.3,1.1184076202728268,4,0,3399,26 Feb 19,26 Feb 19,20,Eva,Administered by female interviewer,CATI,2.0,Before March 8th,Comunidad de Madrid,MADRID,Madrid,28006,Alcobendas,Municipalities >=10K pop.,">100,000 pop.",28100,Quite,3 or 4 days (quite a lot),1 or 2 days/weekends,1 or 2 days/weekends,1 or 2 days/weekends,1 or 2 days/weekends,Completely satisfied,Not at all,Voting in elections,Quite,"Yes, a little",No interest,2,Social networks,,,,Not at all,Quite,Quite,Quite,No,Yes,Very necessary,Rather positive,Solidarity,Descendent categories,INSEGURIDAD QUE SUFREN LAS MUJERES,Gender-based violence,Gender crimes,,,Very capable,Agree,Agree,Agree,Agree,Agree,Maybe,88,DK,,,,No,No,,No,Yes,No, ,,,,,Yes,Has no sympathy whatsoever,No,Extreme left,Yes,,PSOE,,Never,,,,Woman,24.0,10,Unpaid domestic work,Primary school (or has attended school for 5 years or more),Yes,It is fine as it is,Man,1,No,No,No,No,,"Yes, call him/her",0.9166666666665136,1.023076923075037,0.9756097560973508
3412,invalid,queue,MEDIUM,1,DUR_short,0,1,1,0,0,0,0,7.4,4.389775068253756,5,0,3412,01 Mar 19,01 Mar 19,11,María,Administered by female interviewer,CATI,5.0,Before March 8th,"Este (Cataluña, Comunidad Valenciana, Baleares)",CATALUÑA,Barcelona,8096,Granollers,Municipalities >=10K pop.,"20,000-99,999 pop.",8401,Very,Everyday or almost everyday (5-7),Never,1 or 2 days/weekends,Never,1 or 2 days/weekends,0 Completely dissatisfied,Very,None are useful,Very capable,"No, I didn't know anything",, ,,,,,,,,,,,Not very necessary,No feelings,,,0,,,,,Quite capable,Agree,Disagree,Disagree,Disagree,Disagree,No, ,,,,,No,Yes,,No,No,No, ,,,,,Yes,6,No,5,Did not want to vote,Abstained,Will abstain,Cs Ciudadanos,Never,,,,Woman,37.0,"11, NO TRABAJA",Unpaid domestic work,"EGB, ESO, Baccalaurate, Elementary Baccalaurate",Yes,Greater participation of my partner,Man,4,Yes,No,No,Yes,Only daughter/s,"Yes, by SMS",0.9047619047617536,0.9543568464670732,0.9266666666664668
3413,invalid,queue,MEDIUM,1,longstring,0,1,0,0,0,1,0,11.1,1.3137918149468457,7,2,3413,27 Feb 19,27 Feb 19,17,María,Administered by female interviewer,CATI,3.0,Before March 8th,"Este (Cataluña, Comunidad Valenciana, Baleares)",CATALUÑA,Barcelona,8180,Ripollet,Municipalities >=10K pop.,"20,000-99,999 pop.",8291,Quite,Everyday or almost everyday (5-7),Never,Everyday or almost everyday (5-7),Never,1 or 2 days/weekends,4,Very,Take to the strees to demonstrate,Quite,"No, I didn't know anything",, ,,,,,,,,,,,Quite necessary,Rather positive,Solidarity,Descendent categories,88,DK,,,,,Disagree,Agree,Agree,Agree,Agree,Yes,EN LO QUE SE HAGA EN MI LOCALIDAD,DK,,,,No,No,,No,No,"Yes, in one",7,Pensioners and retired people,,,,Yes,Fully sympathises,No,,Yes,Unidos Podemos,DK,PSOE,Have no networks,,,,Man,74.0,4,Retired or pensioner (previously worked),"EGB, ESO, Baccalaurate, Elementary Baccalaurate",Yes,Greater participation by me,Woman,"2, 3",Yes,Yes,Yes,No,Both (sons and daughters),"Yes, call him/her",0.999999999999833,0.9857819905151366,0.9973614775723444
3429,invalid,queue,MEDIUM,1,DKNA,0,1,0,0,0,0,1,9.6,,3,5,3429,26 Feb 19,26 Feb 19,16,Alejandro,Administered by male interviewer,CATI,2.0,Before March 8th,"Centro (Castilla y León, Castilla-La Mancha, Extremadura)",EXTREMADURA,Cáceres,10041,Caminomorisco,Municipalities <10K pop.,<5k pop.,10623,Very,Everyday or almost everyday (5-7),Never,3 or 4 days (quite a lot),Everyday or almost everyday (5-7),3 or 4 days (quite a lot),DK,Hardly,Voting in elections,Little,"No, I didn't know anything",, ,,,,,,,,,,,Very necessary,Rather positive,Solidarity,Ascedent categories,88,DK,,,,,Agree,Agree,DK,Agree,Agree,No, ,,,,,No,DK,,No,No,No, ,,,,,Yes,DK,No,5,Yes,PP,PP,,Less frequently,DK,No,No,Man,55.0,1,Working full time,"EGB, ESO, Baccalaurate, Elementary Baccalaurate",Yes,It is fine as it is,Woman,3,Yes,No,Yes,No,Only daughter/s,"Yes, call him/her",0.999999999999833,0.9857819905151366,0.9973614775723444
