ID,MODE,CODINT,优先级,CI,flag_dur_low,flag_dur_high,flag_md,flag_long,flag_dkna,DUR,DUR_z,访问员标记率,标记率超均值倍数,MD_d2,LS_run,DKNA_count,P11A_标签,P11A_翻转,P11B_标签,P11B_翻转,P11C_标签,P11C_翻转,P11D_标签,P11D_翻转,P11E_标签,P11E_翻转,P22,P23,P25,P07Ctx,P10tx,P12Btx,P16Btx,P07Ctx_有效,P10tx_有效,P12Btx_有效,P16Btx_有效,开放题有效计数,维度A分,维度B分,维度C分,总分,决策,备注
14385,CAWI,Autoadministrado CAWI,常规,1,0,0,0,1,0,8.5,-0.2549975972683186,0.2491467576791808,0.9086281247117424,4.39313910516078,7,0,Strongly disagree,5.0,Strongly agree,5.0,Strongly agree,5.0,Strongly agree,5.0,Strongly agree,5.0,Man,28.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)","FACEBOOK , INSTAGRAM, AMIGOS","IGUALDAD, JUSTICIA","CONCENTRACIONES , VISIBILIZAR EL FEMINISMO , EDUCAR A MIS AMIGOS",88,1,1,1,0,3,0.0,0.0,0.0,0.0,保留,LS 开放题自证充分（≥2字段）→ 保留
14458,CATI,Eva,常规,1,0,0,0,0,1,12.9,0.4735610183411099,0.25,0.9117398648648648,,5,5,Agree,2.0,Strongly agree,5.0,DK,,DK,,Disagree,2.0,Woman,46.0,"EGB, ESO, Baccalaurate, Elementary Baccalaurate",3,RESPETO A LAS MUJERES Y NOS VALOREN, , ,0,1,0,0,1,1.0,0.0,0.0,1.0,保留,DKNA 单字段具体议题自证+作答模式合理 → 保留
14536,CATI,Daniel,常规,1,0,0,1,0,0,9.7,-0.3133475431547509,0.293859649122807,1.0716942271218588,13.39541918762836,5,2,Strongly agree,1.0,Disagree,2.0,Disagree,2.0,Agree,4.0,Strongly disagree,1.0,Man,63.0,"EGB, ESO, Baccalaurate, Elementary Baccalaurate",1,0, , ,0,0,0,0,0,2.0,0.0,0.0,2.0,剔除,MD 信号命中+开放题全空无自证 → 自证门槛剔除
14564,CATI,Daniel,常规,1,1,0,0,0,0,8.4,-0.7105099269732518,0.293859649122807,1.0716942271218588,3.290817454810447,4,0,Agree,2.0,Agree,4.0,Agree,4.0,Agree,4.0,Disagree,2.0,Man,42.0,"EGB, ESO, Baccalaurate, Elementary Baccalaurate","1, 5",IGUALDAD, , ,0,1,0,0,1,2.0,0.0,0.0,2.0,剔除,DUR低 唯一开放字段为泛词/编码（IGUALDAD）无实质自证 → 门槛剔除
14586,CATI,Juana,常规,1,0,0,0,0,1,17.6,1.3310458021540614,0.1666666666666666,0.6078265765765766,7.842801515881676,3,4,Disagree,4.0,Agree,4.0,Agree,4.0,Strongly disagree,1.0,Strongly disagree,1.0,Man,89.0,No schooling (or less than 5 years of schooling),"1, 6",88, , ,0,0,0,0,0,2.0,0.0,0.0,2.0,剔除,DKNA 信号命中+开放题全空无自证 → 自证门槛剔除
14591,CATI,David,常规,1,1,0,0,0,0,7.1,-1.1745847132400753,0.3942857142857143,1.4379440154440155,5.291350540831196,4,1,Strongly agree,1.0,Disagree,2.0,Disagree,2.0,Disagree,2.0,Disagree,2.0,Man,27.0,"FP2, Higher Vocational Training, Conservatoire 10 years",8,88, , ,0,0,0,0,0,2.0,0.0,1.0,3.0,剔除,DUR低 信号命中+开放题全空无自证 → 自证门槛剔除
14602,CATI,María,常规,1,1,0,0,0,0,7.7,-0.9506700640001242,0.2685714285714285,0.979469111969112,2.989836509956907,4,0,Agree,2.0,Strongly agree,5.0,Strongly agree,5.0,Neither agree nor disagree,3.0,Neither agree nor disagree,3.0,Man,32.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)","INTERNET, , , 1, 6",TODO EL TEMA DEL EMBAREZO DE LA MUJER, , ,1,1,0,0,2,0.0,0.0,0.0,0.0,保留,DUR低 开放题自证充分（≥2字段）→ 保留
14702,CATI,Alejandro,常规,1,0,0,0,0,1,10.0,-0.2292770721848513,0.3630952380952381,1.3241936132561132,,0,5,,,Agree,4.0,,,DK,,DK,,Woman,75.0,"EGB, ESO, Baccalaurate, Elementary Baccalaurate", ,88, , ,0,0,0,0,0,2.0,1.0,0.0,3.0,剔除,DKNA 信号命中+开放题全空无自证 → 自证门槛剔除
14732,CATI,Raúl,常规,1,1,0,0,0,0,8.1,-0.8108882764442957,0.3050847457627119,1.1126316994961063,8.848279687127782,3,1,Strongly agree,1.0,Disagree,2.0,Strongly disagree,1.0,Strongly disagree,1.0,Strongly disagree,1.0,Man,58.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)", ,88, , ,0,0,0,0,0,2.0,0.0,0.0,2.0,剔除,DUR低 信号命中+开放题全空无自证 → 自证门槛剔除
14751,CATI,Luna,常规,1,0,0,0,1,0,14.1,0.7190650106806803,0.2325581395348837,0.8481301068510371,3.084666447761618,6,0,Disagree,4.0,Agree,4.0,Agree,4.0,Strongly agree,5.0,Strongly agree,5.0,Woman,73.0,"COU, BUP, Higher Baccalaurate","1, 5, 6",TODAS SON IMPORTANTES,NO PUEDE, ,0,1,1,0,2,0.0,0.0,0.0,0.0,保留,LS 开放题自证充分（≥2字段）→ 保留
14786,CATI,Juana,常规,1,1,0,0,0,0,7.3,-1.0979103270469086,0.1666666666666666,0.6078265765765766,6.360270230557529,3,1,Strongly agree,1.0,Disagree,2.0,Disagree,2.0,Strongly disagree,1.0,Strongly disagree,1.0,Man,44.0,"COU, BUP, Higher Baccalaurate", ,NINGUNA, , ,0,1,0,0,1,2.0,0.0,0.0,2.0,剔除,DUR低 唯一开放字段为泛词/编码（NINGUNA）无实质自证 → 门槛剔除
14800,CATI,Alejandro,常规,1,1,0,0,0,0,8.1,-0.8108882764442957,0.3630952380952381,1.3241936132561132,10.059666522986909,3,0,Disagree,4.0,Disagree,2.0,Agree,4.0,Strongly disagree,1.0,Strongly disagree,1.0,Man,57.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)","1, 5",88, ,8,0,0,0,0,0,2.0,0.0,0.0,2.0,剔除,DUR低 信号命中+开放题全空无自证 → 自证门槛剔除
14847,CATI,María,常规,1,0,0,1,0,0,9.8,-0.2850385728707622,0.2685714285714285,0.979469111969112,16.43719308239599,3,0,Agree,2.0,Strongly disagree,1.0,Strongly agree,5.0,Strongly agree,5.0,Strongly agree,5.0,Woman,53.0,"EGB, ESO, Baccalaurate, Elementary Baccalaurate","INTERNET, , , 5",NO,HICIMOS UN PARO DE 10 MINUTOS CON MIS COMPAÑERAS DE TRABAJO A LA PUERTA DE MI EMPRESA, ,1,1,1,0,3,0.0,0.0,0.0,0.0,保留,MD 开放题自证充分（≥2字段）→ 保留
14991,CATI,María,常规,1,1,0,0,0,0,7.4,-1.0603573612727293,0.2685714285714285,0.979469111969112,9.937883505376108,5,1,Agree,2.0,Strongly disagree,1.0,Strongly disagree,1.0,Disagree,2.0,Strongly disagree,1.0,Man,47.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)","1, 5, 6",0, , ,0,0,0,0,0,2.0,0.0,1.0,3.0,剔除,DUR低 信号命中+开放题全空无自证 → 自证门槛剔除
15002,CATI,Raúl,常规,1,1,0,0,0,0,8.1,-0.8108882764442957,0.3050847457627119,1.1126316994961063,5.870419770756711,3,0,Disagree,4.0,Disagree,2.0,Agree,4.0,Agree,4.0,Agree,4.0,Man,58.0,"EGB, ESO, Baccalaurate, Elementary Baccalaurate", ,VIOLENCIA DE GENERO, , ,0,1,0,0,1,1.0,0.0,0.0,1.0,保留,DUR低 单字段具体议题自证+作答模式合理 → 保留
15018,CATI,Daniel,常规,1,0,0,0,1,0,14.8,0.8527984537755341,0.293859649122807,1.0716942271218588,4.39313910516078,8,0,Strongly disagree,5.0,Strongly agree,5.0,Strongly agree,5.0,Strongly agree,5.0,Strongly agree,5.0,Man,48.0,"FP2, Higher Vocational Training, Conservatoire 10 years","3, 4","IGUALDAD, IGUALDAD SALARIAL",1,"7, 10",0,1,0,0,1,1.0,0.0,0.0,1.0,保留,LS 单字段具体议题自证+作答模式合理 → 保留
15025,CATI,María,常规,1,1,0,0,0,0,7.1,-1.1745847132400753,0.2685714285714285,0.979469111969112,,3,1,Strongly agree,1.0,DK,,Agree,4.0,Agree,4.0,Agree,4.0,Man,30.0,Primary school (or has attended school for 5 years or more), ,0, ,7,0,0,0,0,0,2.0,0.0,1.0,3.0,剔除,DUR低 信号命中+开放题全空无自证 → 自证门槛剔除
15198,CATI,Juana,常规,1,0,0,0,0,1,14.2,0.7385711018081885,0.1666666666666666,0.6078265765765766,,0,7,Strongly agree,1.0,Agree,4.0,Agree,4.0,DK,,DK,,Man,38.0,No schooling (or less than 5 years of schooling), ,88, , ,0,0,0,0,0,2.0,0.0,0.0,2.0,剔除,DKNA 信号命中+开放题全空无自证 → 自证门槛剔除
15224,CATI,Tomas,常规,1,0,0,1,0,0,17.0,1.235310179440976,0.3103448275862069,1.1318150046598323,14.827066363294168,2,1,Agree,2.0,Strongly agree,5.0,Disagree,2.0,Strongly agree,5.0,Disagree,2.0,Man,27.0,"FP2, Higher Vocational Training, Conservatoire 10 years",2,IGUALDAD EN GENERAL, , ,0,1,0,0,1,2.0,0.0,0.0,2.0,剔除,MD 唯一开放字段为泛词/编码（IGUALDAD EN GENERAL）无实质自证 → 门槛剔除
15253,CATI,Victoria,常规,1,0,0,0,1,0,10.8,-0.0168568712358862,0.2201834862385321,0.8030002479543764,1.2969435442876809,7,3,Agree,2.0,Agree,4.0,Agree,4.0,Neither agree nor disagree,3.0,Disagree,2.0,Man,62.0,"EGB, ESO, Baccalaurate, Elementary Baccalaurate",3,88, , ,0,0,0,0,0,2.0,0.0,0.0,2.0,剔除,LS 信号命中+开放题全空无自证 → 自证门槛剔除
15327,CATI,Alejandro,常规,1,0,0,0,0,1,9.7,-0.3133475431547509,0.3630952380952381,1.3241936132561132,,4,4,DK,,Strongly agree,5.0,Agree,4.0,Strongly agree,5.0,Strongly agree,5.0,Woman,41.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)",88,88, , ,0,0,0,0,0,2.0,0.0,0.0,2.0,剔除,DKNA 信号命中+开放题全空无自证 → 自证门槛剔除
15337,CATI,David,常规,1,1,0,0,0,0,8.3,-0.7435654167534216,0.3942857142857143,1.4379440154440155,2.050632358685068,3,0,Neither agree nor disagree,3.0,Strongly agree,5.0,Strongly agree,5.0,Strongly agree,5.0,Agree,4.0,Man,19.0,"COU, BUP, Higher Baccalaurate",2,VIOLENCIA MACHISTA,1,10,0,1,0,0,1,1.0,0.0,0.0,1.0,保留,DUR低 单字段具体议题自证+作答模式合理 → 保留
15413,CATI,Juana,常规,1,0,0,0,1,0,13.1,0.5160249390888186,0.1666666666666666,0.6078265765765766,1.3137918149468455,6,0,Disagree,4.0,Agree,4.0,Agree,4.0,Agree,4.0,Agree,4.0,Woman,31.0,"COU, BUP, Higher Baccalaurate","1, 2","DIFERENTE TRATO EN DERECHOS EN MUJERES FERTILES , DESSIGUALDAD SALARIAS", , ,0,1,0,0,1,1.0,0.0,0.0,1.0,保留,LS 单字段具体议题自证+作答模式合理 → 保留
15471,CAWI,Autoadministrado CAWI,常规,1,0,0,0,1,0,9.7,-0.0277540619868489,0.2491467576791808,0.9086281247117424,1.3137918149468455,6,0,Disagree,4.0,Agree,4.0,Agree,4.0,Agree,4.0,Agree,4.0,Woman,54.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)","TV, INTERNET","TOMA DE CONCIENCIA, IGUALDAD","MANIFESTARME, CHARLAS","MUJER, JUBILADOS",1,1,1,1,4,0.0,0.0,0.0,0.0,保留,LS 开放题自证充分（≥2字段）→ 保留
15479,CATI,María,常规,1,1,0,0,0,0,7.7,-0.9506700640001242,0.2685714285714285,0.979469111969112,6.360270230557529,4,0,Strongly agree,1.0,Disagree,2.0,Disagree,2.0,Strongly disagree,1.0,Strongly disagree,1.0,Man,29.0,"FP1, Intermediate Vocational Training",1,0, , ,0,0,0,0,0,2.0,0.0,0.0,2.0,剔除,DUR低 信号命中+开放题全空无自证 → 自证门槛剔除
15515,CATI,Eva,常规,1,1,0,0,0,0,7.9,-0.8798943808324479,0.25,0.9117398648648648,8.78738028690909,3,0,Strongly agree,1.0,Strongly disagree,1.0,Disagree,2.0,Strongly disagree,1.0,Strongly disagree,1.0,Man,38.0,"COU, BUP, Higher Baccalaurate", ,0, , ,0,0,0,0,0,2.0,0.0,0.0,2.0,剔除,DUR低 信号命中+开放题全空无自证 → 自证门槛剔除
15538,CATI,David,常规,1,1,0,0,0,0,7.6,-0.9867503216521336,0.3942857142857143,1.4379440154440155,3.591218138119019,4,2,Strongly agree,1.0,Agree,4.0,Agree,4.0,Disagree,2.0,Disagree,2.0,Man,41.0,"COU, BUP, Higher Baccalaurate",2,REIVINDICACIONES POLITICAS, , ,0,1,0,0,1,1.0,0.0,0.0,1.0,保留,DUR低 单字段具体议题自证+作答模式合理 → 保留
15563,CATI,María,常规,1,0,0,0,1,0,11.4,0.1323740881877214,0.2685714285714285,0.979469111969112,1.3137918149468455,10,2,Disagree,4.0,Agree,4.0,Agree,4.0,Agree,4.0,Agree,4.0,Man,43.0,"FP1, Intermediate Vocational Training","INTERNET, , , 2",88,1,10,1,0,0,0,1,2.0,2.0,0.0,4.0,剔除,LS 唯一开放字段为泛词/编码（88）无实质自证 → 门槛剔除
15639,CATI,Tomas,常规,1,0,1,0,0,0,30.6,2.8576603923595183,0.3103448275862069,1.1318150046598323,5.792347049575205,3,1,Strongly agree,1.0,Agree,4.0,Disagree,2.0,Disagree,2.0,Disagree,2.0,Man,79.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)","1, 3",IGUALDAD EN GENERAL, , ,0,1,0,0,1,2.0,0.0,0.0,2.0,剔除,DUR高 唯一开放字段为泛词/编码（IGUALDAD EN GENERAL）无实质自证 → 门槛剔除
15642,CATI,David,常规,1,1,0,0,0,0,7.3,-1.0979103270469086,0.3942857142857143,1.4379440154440155,7.235064292069622,3,0,Agree,2.0,Disagree,2.0,Agree,4.0,Agree,4.0,Disagree,2.0,Man,30.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)",2,IGUALDAD REAL, , ,0,1,0,0,1,1.0,0.0,0.0,1.0,保留,DUR低 单字段具体议题自证+作答模式合理 → 保留
