ID,MODE,CODINT,优先级,CI,flag_dur_low,flag_dur_high,flag_md,flag_long,flag_dkna,DUR,DUR_z,访问员标记率,标记率超均值倍数,MD_d2,LS_run,DKNA_count,P11A_标签,P11A_翻转,P11B_标签,P11B_翻转,P11C_标签,P11C_翻转,P11D_标签,P11D_翻转,P11E_标签,P11E_翻转,P22,P23,P25,P07Ctx,P10tx,P12Btx,P16Btx,P07Ctx_有效,P10tx_有效,P12Btx_有效,P16Btx_有效,开放题有效计数,维度A分,维度B分,维度C分,总分,决策,备注
522,CATI,Alejandro,高,2,1,0,0,0,1,7.2,-1.1359812810757408,0.3630952380952381,1.3241936132561132,,2,4,Agree,2.0,Agree,4.0,Agree,4.0,DK,,DK,,Woman,,, ,0, , ,0,0,0,0,0,2.0,0.0,2.0,4.0,剔除,开放题全空/编码值，DUR快答+DKNA叠加无自证
963,CATI,Victoria,高,2,0,0,1,1,0,17.8,1.3622337092073051,0.2201834862385321,0.8030002479543764,12.219831577898812,9,0,Agree,2.0,Strongly disagree,1.0,Agree,4.0,Strongly disagree,1.0,Disagree,2.0,Woman,45.0,"EGB, ESO, Baccalaurate, Elementary Baccalaurate","NOTICIAS TV, GENTE HABLANDO ELECCIONES",DESIGUALDAD SALARIAL, , ,1,1,0,0,2,0.0,0.0,0.0,0.0,保留,开放题自证充分（媒体+议题），态度多样，LS自证成立
1041,CATI,Eva,高,2,0,0,1,1,0,10.2,-0.1746198325286013,0.25,0.9117398648648648,12.961464483513367,6,1,Strongly disagree,5.0,Strongly disagree,1.0,Agree,4.0,Neither agree nor disagree,3.0,Neither agree nor disagree,3.0,Man,36.0,"COU, BUP, Higher Baccalaurate","COMITE DE EMPRESSA, , , 9",RESPETO,2, ,1,1,0,0,2,0.0,0.0,0.0,0.0,保留,开放题自证（媒体+议题），态度多样
1249,CATI,Luna,高,2,0,1,0,1,0,32.5,3.02392906271581,0.2325581395348837,0.8481301068510371,7.158961867586321,6,1,Strongly agree,1.0,Strongly agree,5.0,Strongly agree,5.0,Disagree,2.0,Disagree,2.0,Man,53.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)",TV,LABORAL, ,9,1,1,0,0,2,0.0,0.0,0.0,0.0,保留,32.5min 真实长访谈，开放题自证，DUR长侧复核通过
1451,CATI,Luna,高,2,0,0,1,1,0,11.9,0.2508515215738882,0.2325581395348837,0.8481301068510371,15.53977887663033,6,0,Disagree,4.0,Agree,4.0,Strongly agree,5.0,Disagree,2.0,Strongly agree,5.0,Woman,36.0,"FP2, Higher Vocational Training, Conservatoire 10 years",TELEDIARIO,"MALTRATO, IGUALDAD", , ,1,1,0,0,2,0.0,0.0,0.0,0.0,保留,开放题自证（媒体+议题），态度多样
1474,CATI,David,高,2,0,0,1,1,0,9.5,-0.3708517148909659,0.3942857142857143,1.4379440154440155,11.96375997510468,8,1,Disagree,4.0,Strongly agree,5.0,Disagree,2.0,Strongly agree,5.0,Strongly agree,5.0,Man,44.0,"FP2, Higher Vocational Training, Conservatoire 10 years",3,0, , ,0,0,0,0,0,2.0,0.0,0.0,2.0,剔除,P07=3 P10=0 纯编码，LS=8连击，A=2门槛触发
1506,CATI,María,高,2,1,0,0,0,1,7.2,-1.1359812810757408,0.2685714285714285,0.979469111969112,1.089973009786805,2,4,Neither agree nor disagree,3.0,Agree,4.0,Agree,4.0,Neither agree nor disagree,3.0,Disagree,2.0,Man,44.0,"FP2, Higher Vocational Training, Conservatoire 10 years", ,0, , ,0,0,0,0,0,2.0,0.0,2.0,4.0,剔除,开放题全空，DUR快答+DKNA
1973,CATI,Daniel,高,2,1,0,0,0,1,7.2,-1.1359812810757408,0.293859649122807,1.0716942271218588,,5,6,Agree,2.0,DK,,Agree,4.0,Disagree,2.0,Disagree,2.0,Woman,30.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)", ,0, , ,0,0,0,0,0,2.0,0.0,2.0,4.0,剔除,开放题全空，DUR快答+DKNA
2177,CATI,Daniel,高,2,1,0,0,1,0,8.1,-0.8108882764442957,0.293859649122807,1.0716942271218588,,7,2,,,Agree,4.0,Agree,4.0,Agree,4.0,Agree,4.0,Man,67.0,Primary school (or has attended school for 5 years or more),"1, 9",99, , ,0,0,0,0,0,2.0,1.0,0.0,3.0,剔除,"P07=1,9 P10=99，全4连击无自证"
3647,CATI,Juana,高,2,0,0,0,1,1,12.6,0.408614482866602,0.1666666666666666,0.6078265765765766,3.290817454810447,6,4,Agree,2.0,Agree,4.0,Agree,4.0,Agree,4.0,Disagree,2.0,Woman,52.0,"COU, BUP, Higher Baccalaurate","COLEGIO BOCA BOCA, , , 1, 9",99, , ,1,0,0,0,1,1.0,0.0,0.0,1.0,保留,P07=具体电台名自证
4111,CATI,Luna,高,2,0,0,1,1,0,16.4,1.13613422615833,0.2325581395348837,0.8481301068510371,12.94908498951331,7,0,Disagree,4.0,Disagree,2.0,Strongly disagree,1.0,Strongly disagree,1.0,Disagree,2.0,Woman,57.0,"COU, BUP, Higher Baccalaurate",UN FAMILIAR,LE DA IGUAL NINGUNA, , ,1,1,0,0,2,0.0,0.0,0.0,0.0,保留,开放题自证（家人+观点），态度多样
4123,CATI,Raúl,高,2,0,0,1,1,0,16.1,1.085177079003676,0.3050847457627119,1.1126316994961063,11.773997949336534,6,1,Strongly agree,1.0,Agree,4.0,Strongly agree,5.0,Strongly agree,5.0,Disagree,2.0,Man,62.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)","1, 5, 6","VIOLENCIA DE GENERO, IGUALDAD ENTRE HOMBRES Y MUJERES EN SALARIOS, Y EN TODO EN GENERAL", ,"7, 10",0,1,0,0,1,1.0,0.0,0.0,1.0,保留,P10=性别暴力议题自证
4652,CAWI,Autoadministrado CAWI,高,2,1,0,0,1,0,6.2,-0.7979274794095809,0.2491467576791808,0.9086281247117424,3.6928593490068753,7,0,Disagree,4.0,Agree,4.0,Agree,4.0,Disagree,2.0,Disagree,2.0,Woman,32.0,"EGB, ESO, Baccalaurate, Elementary Baccalaurate", ,0, , ,0,0,0,0,0,2.0,0.0,0.0,2.0,剔除,开放题全空，LS命中无自证，A=2门槛触发
4720,CATI,Eva,高,2,0,0,1,0,1,14.8,0.8527984537755341,0.25,0.9117398648648648,15.039364101448962,2,4,Disagree,4.0,Strongly disagree,1.0,Disagree,2.0,Strongly agree,5.0,Agree,4.0,Woman,76.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)",3,88,88, ,0,0,0,0,0,2.0,0.0,0.0,2.0,剔除,P07=3 P10/P12=88，MD+DKNA无自证
4892,CATI,Eva,高,2,0,0,1,1,0,9.8,-0.2850385728707622,0.25,0.9117398648648648,13.140735838422763,6,1,Strongly disagree,5.0,Disagree,2.0,Disagree,2.0,Strongly disagree,1.0,Disagree,2.0,Woman,50.0,"FP1, Intermediate Vocational Training",1,0, , ,0,0,0,0,0,2.0,0.0,0.0,2.0,剔除,P07=1 P10=0，MD+LS无自证
5021,CATI,Raúl,高,2,0,0,1,0,1,17.4,1.29950145416188,0.3050847457627119,1.1126316994961063,26.40185262102197,2,7,Strongly disagree,5.0,Strongly disagree,1.0,Agree,4.0,Strongly disagree,1.0,Agree,4.0,Man,74.0,Primary school (or has attended school for 5 years or more), ,0, , ,0,0,0,0,0,2.0,0.0,0.0,2.0,剔除,开放题全空，MD+DKNA无自证
5474,CATI,Daniel,高,2,1,0,1,0,0,7.7,-0.9506700640001242,0.293859649122807,1.0716942271218588,16.48681223229817,2,0,Disagree,4.0,Strongly disagree,1.0,Strongly disagree,1.0,Agree,4.0,Disagree,2.0,Woman,20.0,"FP1, Intermediate Vocational Training", ,99, , ,0,0,0,0,0,2.0,0.0,0.0,2.0,剔除,开放题全空/P10=99，DUR快答+MD
5715,CATI,Alejandro,高,2,0,0,1,1,0,10.2,-0.1746198325286013,0.3630952380952381,1.3241936132561132,14.703358477428672,7,2,Strongly disagree,5.0,Strongly agree,5.0,Strongly agree,5.0,Strongly disagree,1.0,Strongly disagree,1.0,Woman,40.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)","1, 2, 5, 6",IGUALDAD SALARIAL, ,"3, 10",0,1,0,0,1,1.0,0.0,0.0,1.0,保留,P10=同工同酬自证
7023,CAWI,Autoadministrado CAWI,高,2,0,0,1,1,0,19.3,1.1560953781651089,0.2491467576791808,0.9086281247117424,13.52955578667718,7,0,Strongly disagree,5.0,Strongly agree,5.0,Disagree,2.0,Strongly agree,5.0,Neither agree nor disagree,3.0,Woman,35.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)","WHATSAPP Y REDES SOCIALES, BOCA A BOCA, MEDICOS DE COMUNICACION",CAMBIAR LA ESTRUCTURA DEL SISTEMA QUE ENGLOBA TODAS LAS REVINDICACIONES. TODAS LAS REVINDICACIONES SON IMPORTANTES,"IR A LA HUELGA, PARTICIPAR EN LAS MOVILIZACIONES, DELEGAR EN LOS TRABAJOS DE CUIDADO Y NO CONSUMIR NADA DE NADA",99,1,1,1,0,3,0.0,0.0,0.0,0.0,保留,3题详实开放回答（媒体/议题/参与形式）
7209,CATI,María,高,2,1,0,0,1,0,7.9,-0.8798943808324479,0.2685714285714285,0.979469111969112,4.39313910516078,6,2,Strongly disagree,5.0,Strongly agree,5.0,Strongly agree,5.0,Strongly agree,5.0,Strongly agree,5.0,Woman,22.0,"COU, BUP, Higher Baccalaurate",1,88,"1, 6", ,0,0,0,0,0,2.0,1.0,0.0,3.0,剔除,全5连击+开放题全空，LS直证
7418,CATI,Victoria,高,2,0,1,0,0,1,28.8,2.690330349020788,0.2201834862385321,0.8030002479543764,4.024569664691255,4,8,Neither agree nor disagree,3.0,Disagree,2.0,Agree,4.0,Neither agree nor disagree,3.0,Neither agree nor disagree,3.0,Man,49.0,"FP2, Higher Vocational Training, Conservatoire 10 years", ,88, , ,0,0,0,0,0,2.0,0.0,0.0,2.0,剔除,开放题全空/88，28.8min DUR高+DKNA
8293,CATI,Juana,高,2,0,0,0,1,1,11.3,0.1080558656176829,0.1666666666666666,0.6078265765765766,1.3137918149468455,6,4,Disagree,4.0,Agree,4.0,Agree,4.0,Agree,4.0,Agree,4.0,Woman,53.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)","1, 3, 5","IGUALDAD ENTRE HOMBRES Y MUJERES EN SALARIOS, Y EN TODO EN GENERAL, FLEXIBILIDAD LABORAL",1, ,0,1,0,0,1,1.0,0.0,0.0,1.0,保留,P10=男女平等佐证全4态度
8952,CATI,Alejandro,高,2,1,0,0,1,0,6.6,-1.376141418102614,0.3630952380952381,1.3241936132561132,1.3137918149468455,8,0,Disagree,4.0,Agree,4.0,Agree,4.0,Agree,4.0,Agree,4.0,Man,38.0,"FP2, Higher Vocational Training, Conservatoire 10 years", ,88, , ,0,0,0,0,0,2.0,1.0,2.0,5.0,剔除,全4连击+开放题全空，DUR快答C=2
9013,CAWI,Autoadministrado CAWI,高,2,1,0,0,1,0,5.7,-0.9426146294440108,0.2491467576791808,0.9086281247117424,4.39313910516078,8,0,Strongly disagree,5.0,Strongly agree,5.0,Strongly agree,5.0,Strongly agree,5.0,Strongly agree,5.0,Woman,21.0,"COU, BUP, Higher Baccalaurate",TWITTER,99,MANIFESTARME,VIOLACIONES,1,0,1,1,3,0.0,0.0,0.0,0.0,保留,3题自证（Twitter/游行/暴力议题），全SA佐证成立
9546,CATI,Alejandro,高,2,1,0,0,0,1,7.4,-1.0603573612727293,0.3630952380952381,1.3241936132561132,3.290817454810447,3,5,Agree,2.0,Agree,4.0,Agree,4.0,Agree,4.0,Disagree,2.0,Woman,59.0,"EGB, ESO, Baccalaurate, Elementary Baccalaurate", ,88, , ,0,0,0,0,0,2.0,0.0,2.0,4.0,剔除,开放题全空，DUR快答+DKNA
10115,CAWI,Autoadministrado CAWI,高,2,1,0,1,0,0,5.5,-1.0040769984407365,0.2491467576791808,0.9086281247117424,33.02852535982387,3,1,Agree,2.0,Strongly disagree,1.0,Strongly agree,5.0,Strongly disagree,1.0,Strongly agree,5.0,Woman,53.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)","RRSS, TV",BRECHA SALARIAL, , ,1,1,0,0,2,0.0,0.0,0.0,0.0,保留,P10=工资差距自证+媒体多样；C=2因快答多信号
12117,CATI,Daniel,高,2,1,0,0,1,0,8.0,-0.8451756789460192,0.293859649122807,1.0716942271218588,1.3137918149468455,11,1,Disagree,4.0,Agree,4.0,Agree,4.0,Agree,4.0,Agree,4.0,Woman,39.0,"FP2, Higher Vocational Training, Conservatoire 10 years","1, 2",0, , ,0,0,0,0,0,2.0,1.0,0.0,3.0,剔除,全4连击+开放题全空，LS直证
12223,CATI,David,高,2,1,0,0,1,0,7.3,-1.0979103270469086,0.3942857142857143,1.4379440154440155,3.7427191972620255,6,3,Disagree,4.0,Agree,4.0,Agree,4.0,Agree,4.0,Disagree,2.0,Woman,19.0,"COU, BUP, Higher Baccalaurate","1, 8",88, , ,0,0,0,0,0,2.0,0.0,2.0,4.0,剔除,"P07=1,8 P10=88，DUR快答+LS"
12383,CATI,Eva,高,2,1,0,0,1,0,7.7,-0.9506700640001242,0.25,0.9117398648648648,3.084666447761618,6,0,Disagree,4.0,Agree,4.0,Agree,4.0,Strongly agree,5.0,Strongly agree,5.0,Woman,30.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)",2,PODER LLEGAR A LA IGUALDAD EN LA MORAL DE CADA PERSONA,88, ,0,1,0,0,1,1.0,0.0,0.0,1.0,保留,P10=实现平等自证
12413,CATI,David,高,2,1,0,0,1,0,7.1,-1.1745847132400753,0.3942857142857143,1.4379440154440155,3.290817454810447,7,0,Agree,2.0,Agree,4.0,Agree,4.0,Agree,4.0,Disagree,2.0,Woman,39.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)",2,"BRECHA SALARIAL, VIOLENCIA MACHISTA", , ,0,1,0,0,1,1.0,0.0,2.0,3.0,剔除,LS连击4+DUR快答多信号叠加（C=2），自证不足抵消
12614,CATI,María,高,2,0,0,1,0,1,12.4,0.3644519342070634,0.2685714285714285,0.979469111969112,12.72476027315869,5,4,Disagree,4.0,Agree,4.0,Disagree,2.0,Disagree,2.0,Agree,4.0,Man,62.0,"EGB, ESO, Baccalaurate, Elementary Baccalaurate","CARTELES , EN EL METRO",TODAS, ,10,1,1,0,0,2,0.0,0.0,0.0,0.0,保留,P07=地铁海报+P10=所有，态度多样
13200,CATI,David,高,2,1,0,1,0,0,5.9,-1.6855964182569108,0.3942857142857143,1.4379440154440155,13.852818111655584,2,2,Strongly agree,1.0,Agree,4.0,Strongly disagree,1.0,Agree,4.0,Disagree,2.0,Man,28.0,"FP2, Higher Vocational Training, Conservatoire 10 years", ,88,10, ,0,0,0,0,0,2.0,0.0,2.0,4.0,剔除,开放题全空，5.9min DUR快答+MD
13681,CAWI,Autoadministrado CAWI,高,2,1,0,0,1,0,6.3,-0.7703946777509816,0.2491467576791808,0.9086281247117424,4.39313910516078,6,0,Strongly disagree,5.0,Strongly agree,5.0,Strongly agree,5.0,Strongly agree,5.0,Strongly agree,5.0,Woman,44.0,"FP2, Higher Vocational Training, Conservatoire 10 years",TWITTER,88, , ,1,0,0,0,1,1.0,2.0,0.0,3.0,剔除,LS全5连击，仅媒体名无态度自证，LS自证标准从严（第6章细则）
13988,CATI,María,高,2,0,0,0,1,1,16.3,1.1192528254793137,0.2685714285714285,0.979469111969112,,6,4,DK,,Strongly agree,5.0,Agree,4.0,,,Disagree,2.0,Man,56.0,"EGB, ESO, Baccalaurate, Elementary Baccalaurate",1,"LA IGUALDAD, LA IGUALDAD SALARIAL", , ,0,1,0,0,1,1.0,0.0,0.0,1.0,保留,P10=平等议题自证
14254,CATI,María,高,2,1,0,1,0,0,8.1,-0.8108882764442957,0.2685714285714285,0.979469111969112,11.59661919199954,2,0,Agree,2.0,Strongly disagree,1.0,Disagree,2.0,Agree,4.0,Disagree,2.0,Woman,33.0,"EGB, ESO, Baccalaurate, Elementary Baccalaurate",1,0,1, ,0,0,0,0,0,2.0,0.0,0.0,2.0,剔除,全编码值，DUR快答+MD
14475,CATI,David,高,2,0,0,0,1,1,10.0,-0.2292770721848513,0.3942857142857143,1.4379440154440155,2.2305471629995823,6,4,Disagree,4.0,Agree,4.0,Agree,4.0,Neither agree nor disagree,3.0,Disagree,2.0,Man,51.0,"FP1, Intermediate Vocational Training","1, 8","DERECHOS LABORALES, DELITOS SEXUALES", , ,0,1,0,0,1,1.0,0.0,0.0,1.0,保留,P10=劳动权利议题自证
14889,CATI,Raúl,高,2,1,0,0,0,1,8.4,-0.7105099269732518,0.3050847457627119,1.1126316994961063,1.5165227820285978,5,4,Disagree,4.0,Agree,4.0,Agree,4.0,Neither agree nor disagree,3.0,Neither agree nor disagree,3.0,Man,35.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)", ,88, , ,0,0,0,0,0,2.0,0.0,0.0,2.0,剔除,开放题全空，DUR快答+DKNA
15269,CATI,Tomas,高,2,0,0,1,0,1,27.6,2.5728615399494523,0.3103448275862069,1.1318150046598323,14.131713263667622,5,4,Disagree,4.0,Strongly disagree,1.0,Strongly agree,5.0,Agree,4.0,Agree,4.0,Man,47.0,"EGB, ESO, Baccalaurate, Elementary Baccalaurate",5,IGUALDAD EN GENERAL, , ,0,1,0,0,1,1.0,0.0,0.0,1.0,保留,P10=总体平等自证
15361,CATI,Daniel,高,2,1,0,0,1,0,7.5,-1.023308477393262,0.293859649122807,1.0716942271218588,5.212155498818432,7,0,Disagree,4.0,Agree,4.0,Strongly agree,5.0,Agree,4.0,Disagree,2.0,Man,31.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)","2, 6",IGUALDAD,1, ,0,1,0,0,1,1.0,0.0,2.0,3.0,剔除,LS连击4+DUR快答（C=2），开放题仅一词自证不足
15426,CATI,Alejandro,高,2,1,0,0,1,0,8.0,-0.8451756789460192,0.3630952380952381,1.3241936132561132,1.3137918149468455,6,0,Disagree,4.0,Agree,4.0,Agree,4.0,Agree,4.0,Agree,4.0,Woman,55.0,"EGB, ESO, Baccalaurate, Elementary Baccalaurate", ,88, , ,0,0,0,0,0,2.0,1.0,0.0,3.0,剔除,全4连击+开放题全空，LS直证
15964,CATI,Eva,高,2,1,0,0,1,0,8.3,-0.7435654167534216,0.25,0.9117398648648648,4.39313910516078,7,1,Strongly disagree,5.0,Strongly agree,5.0,Strongly agree,5.0,Strongly agree,5.0,Strongly agree,5.0,Woman,23.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)","1, 2",IGUALDAD,"1, 2", ,0,1,0,0,1,1.0,2.0,0.0,3.0,剔除,LS全5连击，仅一词自证不足，LS自证标准从严（第6章细则）
17731,CATI,Rosa,高,2,1,0,0,1,0,7.9,-0.8798943808324479,0.2105263157894736,0.7677809388335703,2.2775538540346503,8,0,Agree,2.0,Agree,4.0,Agree,4.0,Disagree,2.0,Disagree,2.0,Woman,50.0,"COU, BUP, Higher Baccalaurate",1,88, , ,0,0,0,0,0,2.0,0.0,0.0,2.0,剔除,P07=1 P10=88，LS命中无自证
18352,CAWI,Autoadministrado CAWI,高,2,1,0,1,0,0,3.5,-1.781836453392811,0.2491467576791808,0.9086281247117424,14.072548081823166,3,0,Agree,2.0,Strongly disagree,1.0,Disagree,2.0,Disagree,2.0,Agree,4.0,Woman,,"EGB, ESO, Baccalaurate, Elementary Baccalaurate",88,88,99,99,0,0,0,0,0,2.0,0.0,2.0,4.0,剔除,全88/99拒答，3.5min DUR极快+MD
18511,CAWI,Autoadministrado CAWI,高,2,1,0,0,1,0,5.9,-0.8832720801088219,0.2491467576791808,0.9086281247117424,10.545105611774606,6,0,Strongly agree,1.0,Strongly disagree,1.0,Strongly disagree,1.0,Strongly disagree,1.0,Strongly disagree,1.0,Man,44.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)","ESRADIO , ABC, TWITTER","NADA, CUSTODIA COMPARTIDA", , ,1,1,0,0,2,0.0,0.0,0.0,0.0,保留,媒体多样+共同监护议题佐证保守立场（全1自证成立）
18656,CAWI,Autoadministrado CAWI,高,2,0,1,1,0,0,42.3,2.5063474216593904,0.2491467576791808,0.9086281247117424,11.96375997510468,2,0,Disagree,4.0,Strongly agree,5.0,Disagree,2.0,Strongly agree,5.0,Strongly agree,5.0,Woman,18.0,"EGB, ESO, Baccalaurate, Elementary Baccalaurate","RADIO, PERSONAS, NOTICIAS","MANIFESTACIONES, CONCIENCIAR A LA GENTE","DEBATE, COLGAR CARTELES, MANIFESTARME", ,1,1,1,0,3,0.0,0.0,0.0,0.0,保留,42.3min 真实长访谈，3题详实，DUR长侧复核通过
18691,CATI,Eva,高,2,1,0,0,0,1,7.8,-0.915055371063197,0.25,0.9117398648648648,1.5165227820285978,4,4,Disagree,4.0,Agree,4.0,Agree,4.0,Neither agree nor disagree,3.0,Neither agree nor disagree,3.0,Man,37.0,"EGB, ESO, Baccalaurate, Elementary Baccalaurate", ,88, , ,0,0,0,0,0,2.0,0.0,0.0,2.0,剔除,开放题全空，DUR快答+DKNA
18998,CATI,Rosa,高,2,1,0,0,1,0,8.0,-0.8451756789460192,0.2105263157894736,0.7677809388335703,1.3137918149468455,6,0,Disagree,4.0,Agree,4.0,Agree,4.0,Agree,4.0,Agree,4.0,Man,32.0,Primary school (or has attended school for 5 years or more),2,88, , ,0,0,0,0,0,2.0,1.0,0.0,3.0,剔除,全4连击+开放题全空，LS直证
20291,CATI,María,高,2,1,0,0,1,0,7.9,-0.8798943808324479,0.2685714285714285,0.979469111969112,7.886033641675763,6,0,Disagree,4.0,Agree,4.0,Disagree,2.0,Agree,4.0,Disagree,2.0,Man,45.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)","1, 5",0, , ,0,0,0,0,0,2.0,0.0,0.0,2.0,剔除,全编码值，LS命中无自证
20757,CATI,David,高,2,1,0,1,0,0,7.9,-0.8798943808324479,0.3942857142857143,1.4379440154440155,12.62086569298999,4,1,Strongly disagree,5.0,Strongly agree,5.0,Disagree,2.0,Agree,4.0,Disagree,2.0,Woman,24.0,"FP2, Higher Vocational Training, Conservatoire 10 years","1, 2",88,1, ,0,0,0,0,0,2.0,0.0,0.0,2.0,剔除,全编码值，DUR快答+MD
26343,CATI,María,高,2,1,0,0,1,0,8.0,-0.8451756789460192,0.2685714285714285,0.979469111969112,3.7427191972620255,6,2,Disagree,4.0,Agree,4.0,Agree,4.0,Agree,4.0,Disagree,2.0,Woman,44.0,"FP2, Higher Vocational Training, Conservatoire 10 years","1, 2",LA IGUALDAD,1, ,0,1,0,0,1,1.0,0.0,0.0,1.0,保留,P10=平等自证
27942,CAWI,Autoadministrado CAWI,高,2,1,0,1,0,0,5.6,-0.9730714137817584,0.2491467576791808,0.9086281247117424,18.38506392610672,4,0,Strongly disagree,5.0,Strongly agree,5.0,Agree,4.0,Disagree,2.0,Strongly agree,5.0,Woman,19.0,"COU, BUP, Higher Baccalaurate","PERIODICOS, NOTICIAS, INTERNET",88,"NO IR A TRABAJAR, IR A LA MANIFESTACION", ,1,0,1,0,2,0.0,0.0,0.0,0.0,保留,媒体+罢工参与自证
33086,CAWI,Autoadministrado CAWI,高,2,1,0,1,0,0,6.3,-0.7703946777509816,0.2491467576791808,0.9086281247117424,16.187574417113836,3,0,Agree,2.0,Agree,4.0,Strongly disagree,1.0,Agree,4.0,Strongly disagree,1.0,Woman,41.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)",COPE,0, , ,1,0,0,0,1,2.0,0.0,0.0,2.0,剔除,唯一开放字段为媒体来源（COPE），无实质议题自证 → 泛词门槛剔除（v2 规则追溯）
36067,CAWI,Autoadministrado CAWI,高,2,0,0,1,1,0,11.1,0.2042379212461239,0.2491467576791808,0.9086281247117424,17.06817077105882,12,0,Strongly disagree,5.0,Strongly disagree,1.0,Strongly disagree,1.0,Strongly disagree,1.0,Strongly disagree,1.0,Man,87.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)",TODOS,0, , ,1,0,0,0,1,1.0,0.0,0.0,1.0,保留,P07=所有人（弱自证）
42547,CAWI,Autoadministrado CAWI,高,2,0,1,1,0,0,33.5,2.1049937334835414,0.2491467576791808,0.9086281247117424,13.39541918762836,3,0,Strongly agree,1.0,Disagree,2.0,Disagree,2.0,Agree,4.0,Strongly disagree,1.0,Woman,41.0,"COU, BUP, Higher Baccalaurate",TELEVISION,"ERRADICAR LA VIOLENCIA, RECONOCER LAS LABORES Y EL CUIDADO A NO", , ,1,1,0,0,2,0.0,0.0,0.0,0.0,保留,33.5min 长访谈，2题详实，DUR长侧复核通过
16,CATI,María,常规,1,1,0,0,0,0,6.5,-1.4182811741418857,0.2685714285714285,0.979469111969112,11.349215270200192,3,0,Strongly agree,1.0,Strongly agree,5.0,Disagree,2.0,Strongly disagree,1.0,Strongly disagree,1.0,Woman,47.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)", ,88, , ,0,0,0,0,0,2.0,0.0,1.0,3.0,剔除,DUR低 信号命中+开放题全空无自证 → 自证门槛剔除
93,CATI,Tomas,常规,1,0,0,1,0,0,16.2,1.1022675386039675,0.3103448275862069,1.1318150046598323,13.146715944401414,4,0,Disagree,4.0,Strongly disagree,1.0,Agree,4.0,Strongly agree,5.0,Agree,4.0,Man,70.0,"EGB, ESO, Baccalaurate, Elementary Baccalaurate","1, 6",88,88,9,0,0,0,0,0,2.0,0.0,0.0,2.0,剔除,MD 信号命中+开放题全空无自证 → 自证门槛剔除
163,CATI,María,常规,1,0,0,1,0,0,15.8,1.0332614342158155,0.2685714285714285,0.979469111969112,11.796275663403588,4,0,Strongly agree,1.0,Strongly agree,5.0,Neither agree nor disagree,3.0,Disagree,2.0,Agree,4.0,Man,79.0,"EGB, ESO, Baccalaurate, Elementary Baccalaurate",A TRAVES DE SUS HIJAS,"IGUALDAD , BRECHA SALARIAL",1,10,1,1,0,0,2,0.0,0.0,0.0,0.0,保留,MD 开放题自证充分（≥2字段）→ 保留
169,CATI,Luna,常规,1,0,0,1,0,0,11.9,0.2508515215738882,0.2325581395348837,0.8481301068510371,14.131713263667622,3,0,Disagree,4.0,Strongly disagree,1.0,Strongly agree,5.0,Agree,4.0,Agree,4.0,Man,18.0,"COU, BUP, Higher Baccalaurate","2, 6",CASI TODAS EN GENERAL,"HUELGA EN LAL UNIVERSIDAD, , , 1, 6", ,0,1,1,0,2,0.0,0.0,0.0,0.0,保留,MD 开放题自证充分（≥2字段）→ 保留
191,CAWI,Autoadministrado CAWI,常规,1,0,0,0,1,0,25.4,1.6286928537867151,0.2491467576791808,0.9086281247117424,5.183585850790626,6,0,Disagree,4.0,Agree,4.0,Agree,4.0,Disagree,2.0,Strongly disagree,1.0,Man,86.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)","ABC DIGITAL, 13 TV, INTERECONOMIA TV",NINGUNA, , ,1,1,0,0,2,0.0,0.0,0.0,0.0,保留,LS 开放题自证充分（≥2字段）→ 保留
210,CATI,Eva,常规,1,1,0,0,0,0,7.8,-0.915055371063197,0.25,0.9117398648648648,4.608146178305006,2,1,Agree,2.0,Agree,4.0,Strongly agree,5.0,Disagree,2.0,Disagree,2.0,Woman,44.0,"EGB, ESO, Baccalaurate, Elementary Baccalaurate", ,TODAS EN GENERAL, , ,0,1,0,0,1,2.0,0.0,0.0,2.0,剔除,DUR低 唯一开放字段为泛词/编码（TODAS EN GENERAL）无实质自证 → 门槛剔除
