COUNTRY_CODE,n,attention_flag_n,attention_number_fail_n,attention_response_anomaly_n,range_issue_n,md_flag_n,odd_even_flag_n,longstring_flag_n,mechanical_flag_n,high_priority_n,country_n,eligible_n,items_used,dropped_constant_item_n,computable,reason,threshold_p995,p99,p9975,flagged_n
NLD,1427,0,0,0,0,8,95,929,980,51,1427,1427,27,0,True,,9.940220552794466,9.454187739662485,10.395854739324134,8
NOR,513,0,0,0,0,3,42,390,405,30,513,513,27,0,True,,8.789466890189951,8.59997680789915,8.868701562719915,3
NZL,2028,0,0,0,0,11,285,1116,1347,65,2028,2027,27,0,True,,9.33449870803434,8.83967480930683,10.071845337809002,11
PER,513,0,0,0,0,3,57,387,403,44,513,513,27,0,True,,8.731795789882407,8.611015738174164,8.806951005494136,3
PHL,661,0,0,0,0,4,65,496,520,45,661,661,27,0,True,,9.578718296383702,8.663695690998054,10.892401387288734,4
POL,3037,0,0,0,0,16,240,2218,2344,127,3037,3037,27,0,True,,10.28387822743022,9.487314428460163,10.893254974407693,16
PRT,502,118,0,118,0,3,39,368,409,139,502,502,27,0,True,,8.624006535460081,8.393872719261978,8.683743400734679,3
ROU,444,3,3,0,0,3,40,329,344,29,444,444,27,0,True,,8.604355985027208,8.440547798054515,8.785394086199776,3
RUS,1518,0,0,0,0,8,124,938,1001,68,1518,1518,27,0,True,,8.866538585063266,8.533866216107201,9.442304321070907,8
SRB,575,0,0,0,0,3,51,371,398,27,575,575,27,0,True,,9.21678981635584,8.856369180974081,10.688766243268843,3
SVK,543,0,0,0,0,3,47,417,436,30,543,543,27,0,True,,8.649886894346464,8.367505473487055,9.024757940098674,3
SVN,528,0,0,0,0,3,60,371,399,35,528,528,27,0,True,,10.000790518708142,9.47415016309565,10.106286090116669,3
SWE,1013,0,0,0,0,6,85,761,789,61,1013,1010,27,0,True,,9.263718487672541,8.633175526732073,10.014493465252826,6
TUR,508,0,0,0,0,3,63,392,418,40,508,508,27,0,True,,9.907337964278328,9.476383354091874,10.238911747121922,3
TWN,1206,0,0,0,0,7,106,908,947,74,1206,1206,27,0,True,,9.493512904227169,8.811128281011,10.268769652139559,7
UGA,513,0,0,0,0,3,60,294,327,30,513,513,27,0,True,,8.773194618908226,8.40656057116897,8.936659998347983,3
UKR,1020,0,0,0,0,6,110,592,646,60,1020,1019,27,0,True,,9.070484153190653,8.712121352521882,9.470198470768182,6
URY,325,1,1,0,0,2,21,252,258,18,325,323,27,0,True,,8.55151958784714,8.23654052680655,8.967611620991423,2
USA,2580,0,0,0,0,13,252,1940,2080,125,2580,2580,27,0,True,,10.803704161404498,9.950429106194854,11.208560398485918,13
ZAF,1027,0,0,0,0,6,111,777,820,74,1027,1027,27,0,True,,8.96764308076178,8.600217812821871,9.270603517988079,6
