ID,DATE,DAY,HOUR,CODINT,SEXINT,MODE,DUR,PHASE20,PHASE2,NUTS1,REGION,CPRO,CMUN,MUNICIPALITY,HABT,HABT5,P26,P01,P02A,P02B,P02C,P02D,P02E,P03,P04,P05,P06,P07,P07B,P07Ctx,P07C1,P07C2,P07C3,P07C4,P07D1,P07D2,P07D3,P07D4,P07D5,P07D6,P08,P09,P09B,VP09B,P10tx,P10_1,P10_2,P10_3,P10_4,P10B,P11A,P11B,P11C,P11D,P11E,P12,P12Btx,P12B_1,P12B_2,P12B_3,P12B_4,P13,P13B,P13C,P14,P15,P16,P16Btx,P16B_1,P16B_2,P16B_3,P16B_4,P17,P17B,P17C,P18,P19,P19B,P20,P20B,P21A,P21B,P21C,P21D,P22,P23,P24tx,P24,P25,P27,P27B,P27C,P28,P28_1,P28_2,P28_3,P28_4,P28B,P29,WEIGHT20,WEIGHT2,WEIGHT
2095,26 Feb 19,26 Feb 19,13,David,Administered by male interviewer,CATI,10,2,Before March 8th,"Este (Cataluña, Comunidad Valenciana, Baleares)",CATALUÑA,Barcelona,8056,Castelldefels,Municipalities >=10K pop.,"20,000-99,999 pop.",08860,Very,Less (almost never),1 or 2 days/weekends,Never,Everyday or almost everyday (5-7),3 or 4 days (quite a lot),4,Quite,Voting in elections,Not capable,NA,, ,,,,,,,,,,,Not very necessary,Rather negative,Tedium,Ascedent categories,88,DK,,,,,DK,Disagree,Disagree,Disagree,Strongly disagree,No, ,,,,,No,Yes,,No,No,No, ,,,,,No,,,7,Yes,PP,VOX,,Never,,,,Man,79,1,Working full time,"University graduate (Diploma, Bachelor, Degree, Master, PhD)",Yes,It is fine as it is,Woman,"2, 3",Yes,Yes,Yes,No,Both (sons and daughters),"Yes, call him/her",.999999999999833,.9857819905151366,.9973614775723444
2097,26 Feb 19,26 Feb 19,19,Eva,Administered by female interviewer,CATI,9.300000000000001,2,Before March 8th,"Centro (Castilla y León, Castilla-La Mancha, Extremadura)",CASTILLA-LEON,Salamanca,37046,Béjar,Municipalities >=10K pop.,"10,000-19,999 pop.",37717,Hardly,Everyday or almost everyday (5-7),3 or 4 days (quite a lot),Everyday or almost everyday (5-7),1 or 2 days/weekends,3 or 4 days (quite a lot),7,Quite,Voting in elections,Little,"Yes, very much",No interest,"1, 5",TV,Radio,,,Quite,Very often,Very often,Very often,No,No,Not very necessary,Rather positive,Hope,Descendent categories,88,DK,,,,,Agree,Agree,Agree,Agree,Disagree,No, ,,,,,No,Yes,,No,No,No, ,,,,,Yes,6,No,3,Yes,PSOE,PSOE,,Never,,,,Woman,56,2,Working part-time,"FP2, Higher Vocational Training, Conservatoire 10 years",Yes,It is fine as it is,Man,3,Yes,No,Yes,No,Only son/s,"Yes, call him/her",.8749999999998539,1.322751322743256,1.382978723405372
2098,26 Feb 19,26 Feb 19,11,Eva,Administered by female interviewer,CATI,15.3,2,Before March 8th,"Sur (Andalucía, Murcia, Ceuta y Melilla)",ANDALUCIA,Málaga,29054,Fuengirola,Municipalities >=10K pop.,"20,000-99,999 pop.",29640,Quite,Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),Never,Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),8,Quite,Voting in elections,Little,"Yes, very much",Hardly,"1, 6",TV,Newspapers,,,Little,Quite,Very often,Quite,No,NA,Not very necessary,Rather positive,Solidarity,Ascedent categories,QUE NO HAYA VIOLENCIA MACHISTA,Gender-based violence,,,,Not very capable,Agree,Strongly agree,Agree,Agree,Agree,Maybe,88,DK,,,,No,Yes,,No,Yes,"Yes, in one",3,Sexist murder (protests for specific murders),,,,No,,,7,Not eligible to vote (foreign),Not in electoral census,VOX,,Never,,,,Woman,44,1,Working full time,"COU, BUP, Higher Baccalaurate",Yes,It is fine as it is,Man,4,Yes,No,No,Yes,Both (sons and daughters),"Yes, call him/her",.9047619047617537,.9543568464670731,.9266666666664669
2123,04 Mar 19,04 Mar 19,9,María,Administered by female interviewer,CATI,10.7,8,Before March 8th,"Sur (Andalucía, Murcia, Ceuta y Melilla)",ANDALUCIA,Sevilla,41102,"Viso del Alcor, El",Municipalities >=10K pop.,"10,000-19,999 pop.",41520,Quite,Less (almost never),Never,1 or 2 days/weekends,1 or 2 days/weekends,1 or 2 days/weekends,7,Hardly,Voting in elections,Quite,"Yes, a little",Quite,2,Social networks,,,,Very often,Very often,Very often,Very often,No,No,Not very necessary,No feelings,,,0,None,,,,Quite capable,Disagree,Agree,Agree,Disagree,Strongly disagree,No, ,,,,,No,Yes,,No,No,No, ,,,,,Yes,DK,No,5,Yes,DK,Cs Ciudadanos,,Never,,,,Man,40,1,Working full time,"University graduate (Diploma, Bachelor, Degree, Master, PhD)",Yes,It is fine as it is,Woman,4,Yes,No,No,Yes,Only son/s,"Yes, call him/her",.7999999999998665,.8540145985348291,.8429423459242716
2125,07 Mar 19,07 Mar 19,18,María,Administered by female interviewer,CATI,12.6,11,Before March 8th,"Este (Cataluña, Comunidad Valenciana, Baleares)",BALEARES,Balears (Illes),7024,Formentera,Municipalities >=10K pop.,"10,000-19,999 pop.",07860,Quite,Everyday or almost everyday (5-7),Less (almost never),Everyday or almost everyday (5-7),Never,1 or 2 days/weekends,7,Not at all,Voting in elections,Little,"Yes, a little",Quite,LA CIRCULAR DEL COLEGIO PORQUE VA A HABER HUELGA,Other,,,,Little,Very often,Very often,Very often,No,No,Very necessary,Rather positive,Hope,Descendent categories,LA IGUALDAD EN TODOS LOS AMBITOS,Equality in general,,,,,Strongly disagree,Strongly agree,Neither agree nor disagree,Agree,Disagree,Maybe,88,DK,,,,No,Yes,,No,No,No, ,,,,,Yes,5,No,4,Yes,PP,PP,,Never,,,,Woman,41,10,Unpaid domestic work,"FP2, Higher Vocational Training, Conservatoire 10 years",Yes,NA,Man,4,Yes,No,No,Yes,Both (sons and daughters),"Yes, call him/her",.8636363636362192,.9543568464670731,.9266666666664669
2129,26 Feb 19,26 Feb 19,14,María,Administered by female interviewer,CATI,8.5,2,Before March 8th,"Sur (Andalucía, Murcia, Ceuta y Melilla)",ANDALUCIA,Sevilla,41004,Alcalá de Guadaíra,Municipalities >=10K pop.,"20,000-99,999 pop.",41500,Very,1 or 2 days/weekends,Never,Never,Less (almost never),Less (almost never),6,Quite,None are useful,Quite,"Yes, quite a lot",Hardly,1,TV,,,,Quite,Very often,Doesn't have social networks,,No,No,NA,Rather positive,Indignation,Descendent categories,99,NA,,,,Quite capable,Strongly agree,Strongly agree,Agree,Agree,Agree,No, ,,,,,No,Yes,,No,No,No, ,,,,,No,,,5,Yes,NA,DK,Will abstain,Have no networks,,,,Woman,65,4,Retired or pensioner (previously worked),"EGB, ESO, Baccalaurate, Elementary Baccalaurate","Has a partner, but does not live with him/her",,,2,Yes,Yes,No,No,Only daughter/s,No,.8749999999998539,1.322751322743256,1.382978723405372
2145,02 Mar 19,02 Mar 19,14,Victoria,Administered by female interviewer,CATI,11,6,Before March 8th,Comunidad de Madrid,MADRID,Madrid,28065,Getafe,Municipalities >=10K pop.,">100,000 pop.",28903,Hardly,3 or 4 days (quite a lot),Less (almost never),Everyday or almost everyday (5-7),3 or 4 days (quite a lot),1 or 2 days/weekends,7,Quite,Take to the strees to demonstrate,Quite,"Yes, quite a lot",Quite,"CALLE, , , 1, 5, 6",Street posters,TV,Radio,Newspapers,Quite,Little,Very often,Very often,No,No,Not very necessary,No feelings,,,88,DK,,,,,Agree,Agree,Agree,Neither agree nor disagree,Agree,No, ,,,,,No,Yes,,No,No,No, ,,,,,Yes,4,No,6,Yes,Cs Ciudadanos,Cs Ciudadanos,,Never,,,,Woman,52,1,Working full time,"COU, BUP, Higher Baccalaurate",Yes,It is fine as it is,Man,1,No,No,No,No,,"Yes, by SMS",.7916666666665344,.9543568464670731,.9266666666664669
2168,27 Feb 19,27 Feb 19,12,Luna,Administered by female interviewer,CATI,13,3,Before March 8th,"Este (Cataluña, Comunidad Valenciana, Baleares)",CATALUÑA,Barcelona,8077,Esplugues de Llobregat,Municipalities >=10K pop.,"20,000-99,999 pop.",08950,Hardly,Everyday or almost everyday (5-7),Everyday or almost everyday (5-7),1 or 2 days/weekends,3 or 4 days (quite a lot),3 or 4 days (quite a lot),2,Quite,Voting in elections,Little,"Yes, quite a lot",Hardly,"1, 5",TV,Radio,,,Quite,Quite,Quite,Quite,No,No,Very necessary,Rather positive,Solidarity,Ascedent categories,"IGUAL SALARIAL, CUAL QUIER SITUACION DE DISCRIMINACION POR SEXO",Equal pay,Gender equality,,,Very capable,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Yes,1,IWD demonstration,,,,No,No,,No,No,"Yes, in two or more",9,"Independentists (Catalonia, in favour of political prisoners)",,,,Yes,Fully sympathises,Yes,3,Yes,Unidos Podemos,ERC,,Less frequently,No,Yes,Yes,Man,54,1,Working full time,"University graduate (Diploma, Bachelor, Degree, Master, PhD)",Yes,It is fine as it is,Woman,4,Yes,No,No,Yes,Only daughter/s,"Yes, call him/her",.7142857142855952,.8540145985348291,.8429423459242716
2177,27 Feb 19,27 Feb 19,10,Daniel,Administered by male interviewer,CATI,8.1,3,Before March 8th,"Centro (Castilla y León, Castilla-La Mancha, Extremadura)",CASTILLA-LEON,Zamora,49138,Olmillos de Castro,Municipalities <10K pop.,<5k pop.,49540,Hardly,NA,Never,Everyday or almost everyday (5-7),Never,3 or 4 days (quite a lot),8,Quite,Voting in elections,Little,"Yes, quite a lot",NA,"1, 9",TV,Other,,,Very often,Quite,Doesn't use social networks,,No,No,Quite necessary,Rather positive,Hope,Descendent categories,99,NA,,,,Quite capable,NA,Agree,Agree,Agree,Agree,No, ,,,,,No,Yes,,No,No,No, ,,,,,Yes,5,No,5,Yes,PSOE,PSOE,,Have no networks,,,,Man,67,4,Retired or pensioner (previously worked),Primary school (or has attended school for 5 years or more),Yes,It is fine as it is,Woman,3,Yes,No,Yes,No,Only daughter/s,"Yes, call him/her",.999999999999833,.9857819905151366,.9973614775723444
2179,26 Feb 19,26 Feb 19,13,Luna,Administered by female interviewer,CATI,13.2,2,Before March 8th,"Noreste (País Vasco, Navarra, Aragón)",ARAGON,Zaragoza,50297,Zaragoza,Municipalities >=10K pop.,">100,000 pop.",50003,Quite,Everyday or almost everyday (5-7),1 or 2 days/weekends,1 or 2 days/weekends,1 or 2 days/weekends,1 or 2 days/weekends,7,Not at all,Voting in elections,Very capable,"Yes, a little",Quite,"TV, PERIODICO",TV,Newspapers,,,Quite,Very often,Very often,Very often,No,No,Very necessary,Rather positive,Solidarity,Descendent categories,TODAS SON IMPORTANTES,ALL,,,,Not very capable,Strongly agree,Agree,Agree,Disagree,Disagree,No, ,,,,,No,Yes,,No,No,No, ,,,,,Yes,6,No,5,Yes,Cs Ciudadanos,Cs Ciudadanos,,Never,,,,Woman,63,4,Retired or pensioner (previously worked),"EGB, ESO, Baccalaurate, Elementary Baccalaurate",Yes,It is fine as it is,Man,2,Yes,Yes,No,No,Both (sons and daughters),No,.8749999999998539,1.322751322743256,1.382978723405372
2181,26 Feb 19,26 Feb 19,15,Rosa,Administered by female interviewer,CATI,15.5,2,Before March 8th,Canarias,CANARIAS,Palmas (Las),35016,"Palmas de Gran Canaria, Las",Municipalities >=10K pop.,">100,000 pop.",35015,Very,Everyday or almost everyday (5-7),Less (almost never),Never,Less (almost never),Everyday or almost everyday (5-7),0 Completely dissatisfied,Very,Voting in elections,Very capable,"No, I didn't know anything",, ,,,,,,,,,,,Quite necessary,Rather positive,Hope,Descendent categories,"IGUALDAD, PUNIDAD PARA LOS VIOLADORES",Equality in general,Gender crimes,,,Quite capable,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Maybe,1,IWD demonstration,,,,No,DK,,No,No,No, ,,,,,Yes,Fully sympathises,No,6,Did not want to vote,Abstained,VOX,,Have no networks,,,,Woman,62,5,Retired or pensioner (not previously worked),Primary school (or has attended school for 5 years or more),Yes,It is fine as it is,Man,"2, 3",Yes,Yes,Yes,No,Only son/s,"Yes, call him/her",.8749999999998539,1.322751322743256,1.382978723405372
