column,dtype_read_as,n,missing_or_special_n,missing_or_special_pct,numeric_parseable_n,unique_nonmissing_n
TRUST_SCI_qualified,object,71922,39,0.000542,71883,5
SCIPOP_rely,object,71922,38,0.000528,71884,5
TRUST_SCI_concerned,object,71922,38,0.000528,71884,5
TRUST_SCI_honest,object,71922,37,0.000514,71885,5
TRUST_SCI_improve,object,71922,37,0.000514,71885,5
SCIPOP_involved,object,71922,35,0.000487,71887,5
TRUST_SCI_intellig,object,71922,35,0.000487,71887,5
TRUST_PEW,object,71922,33,0.000459,71889,5
TRUST_SCI_ethical,object,71922,33,0.000459,71889,5
TRUST_SCI_trans,object,71922,33,0.000459,71889,5
SCIPOP_lifeexp,object,71922,31,0.000431,71891,5
TRUST_SCI_expert,object,71922,30,0.000417,71892,5
BENEFIT_ONESELF,object,71922,18,0.00025,71904,5
CLIM_TRUST,object,71922,17,0.000236,71905,5
TRUST_METHOD,object,71922,16,0.000222,71906,5
ATTCHECK_RES,object,71922,2,2.8e-05,71920,5
ATTCHECK_NUMBER,object,71922,0,0.0,71922,4
CONSENT,object,71922,0,0.0,71922,1
COUNTRY_CNCY,object,71922,0,0.0,0,54
COUNTRY_CNCY_RATE,object,71922,0,0.0,71922,768
COUNTRY_CODE,object,71922,0,0.0,0,68
COUNTRY_CONT,object,71922,0,0.0,0,6
COUNTRY_NAME,object,71922,0,0.0,0,68
DEM_RESIDENCE,object,71922,0,0.0,71922,2
