row_id,COUNTRY_CODE,COUNTRY_NAME,final_decision,invalid_source,both_len,screening_tier,trigger_reason,signal_count,signal_attention,signal_longstring,signal_mahalanobis,signal_odd_even,ls_max_run,md_score,oe_r,BENEFIT_OPEN,TRUST_OPEN,BENEFIT_OPEN_ZH,ATTCHECK_NUMBER,ATTCHECK_RES,DEM_AGE,DEM_GENDER,DEM_EDU,DEM_AGEGRP
41180,GEO,Georgia,invalid,rule_A_only,4,NORMAL,,0,0,0,0,0,12.0,6.27489650770022,-0.2,NA,опыт,,213,1,NA,1,2,NA
41221,GEO,Georgia,invalid,rule_A_only,5,MEDIUM,mahalanobis_outlier,1,0,0,1,0,10.0,9.565819910491465,0.31622776601683794,Gffhh,NA,,213,1,NA,0,4,NA
41326,GEO,Georgia,invalid,rule_A_only,1,NORMAL,,0,0,0,0,0,10.0,4.779856845244148,0.0,NA,2,,213,1,41,0,3,40-49
41369,GEO,Georgia,invalid,rule_A_only,5,NORMAL,,0,0,0,0,0,3.0,7.2312869332996845,0.1608168802256692,NA,kanıt,,213,1,22,1,4,18-29
41422,GEO,Georgia,invalid,rule_A_only,5,NORMAL,,0,0,0,0,0,7.0,5.52414266639317,0.2,NA,Güven,,213,1,55,0,3,50-59
41435,GEO,Georgia,invalid,rule_A_only,1,NORMAL,,0,0,0,0,0,9.0,3.908036032146754,0.6324555320336759,-,NA,,213,1,51,1,3,50-59
41468,GEO,Georgia,invalid,rule_A_only,3,NORMAL,,0,0,0,0,0,7.0,4.594238216568545,-0.25,gut,NA,,213,1,61,1,4,60+
41501,GEO,Georgia,invalid,rule_A_only,5,NORMAL,,0,0,0,0,0,14.0,3.581215639169078,0.0,народ,NA,,213,1,61,0,4,60+
41504,GEO,Georgia,invalid,rule_A_only,3,NORMAL,,0,0,0,0,0,4.0,4.583320649696497,0.08304547985373997,NA,İYİ,,213,1,67,0,1,60+
41509,GEO,Georgia,invalid,rule_A_only,0,NORMAL,,0,0,0,0,0,13.0,8.736813552432892,0.2370227315699886,NA,-99,,213,1,NA,0,2,NA
41559,GEO,Georgia,invalid,rule_A_only,3,NORMAL,,0,0,0,0,0,9.0,7.926347448248235,0.6546536707079771,все,NA,,213,1,59,0,3,50-59
41916,GHA,Ghana,invalid,rule_A_only,0,NORMAL,,0,0,0,0,0,9.0,3.89506477590431,,-99,NA,,213,1,36,0,4,30-39
41962,GHA,Ghana,invalid,rule_A_only,0,NORMAL,,0,0,0,0,0,11.0,4.279526864945594,,NA,-99,,213,1,19,0,4,18-29
42016,GHA,Ghana,invalid,rule_A_only,0,NORMAL,,0,0,0,0,0,9.0,5.623742675810408,-0.5,-99,NA,,213,1,35,1,4,30-39
42105,HKG,Hong Kong,invalid,rule_A_only,4,NORMAL,,0,0,0,0,0,10.0,6.236748700962792,,NA,實驗數據,,213,1,32,0,4,30-39
42106,HKG,Hong Kong,invalid,rule_A_only,3,NORMAL,,0,0,0,0,0,10.0,4.677727911270546,0.8783100656536799,不清楚 ,NA,,213,1,32,0,4,30-39
42108,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,3.0,5.5096420657279035,-0.3872983346207417,公眾,NA,,213,1,23,1,4,18-29
42119,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,13.0,5.120662772470635,-0.17149858514250882,人類,NA,,213,1,39,0,4,30-39
42121,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,6.0,5.011800868501262,,沒有,NA,,213,1,31,1,4,30-39
42122,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,7.0,3.9624191398948843,0.4472135954999579,政府,NA,,213,1,33,1,4,30-39
42123,HKG,Hong Kong,invalid,rule_A_only,4,NORMAL,,0,0,0,0,0,7.0,4.373560090902508,0.5423261445466404,NA,科學實驗,,213,1,50,0,3,50-59
42124,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,9.0,3.7113294510966472,,百姓,NA,,213,1,32,1,4,30-39
42125,HKG,Hong Kong,invalid,rule_A_only,0,NORMAL,,0,0,0,0,0,16.0,2.650771459371369,,NA,none,,213,1,44,1,3,40-49
42126,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,5.0,5.339169835225007,0.7592566023652966,政權,NA,,213,1,38,1,3,30-39
42131,HKG,Hong Kong,invalid,rule_A_only,0,NORMAL,,0,0,0,0,0,6.0,5.8719901240989,,na,NA,,213,1,30,1,4,30-39
42136,HKG,Hong Kong,invalid,rule_A_only,0,NORMAL,,0,0,0,0,0,4.0,5.588045282015183,0.1856953381770519,NA,-99,,213,1,66,1,3,60+
42138,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,13.0,5.737585531913237,,NA,沒有,,213,1,20,1,4,18-29
42139,HKG,Hong Kong,invalid,rule_A_only,4,NORMAL,,0,0,0,0,0,5.0,4.646762140610159,-0.17149858514250882,廣大市民,NA,,213,1,39,1,4,30-39
42144,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,16.0,6.262579108364133,-0.2,NA,成就,,213,1,29,1,3,18-29
42156,HKG,Hong Kong,invalid,rule_A_only,5,NORMAL,,0,0,0,0,0,5.0,4.3819662131135395,0.15811388300841897,NA,有數據支持,,213,1,43,1,4,40-49
42158,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,13.0,2.896834202231672,,NA,數字,,213,1,29,0,4,18-29
42160,HKG,Hong Kong,invalid,rule_A_only,3,NORMAL,,0,0,0,0,0,9.0,3.626662221489337,-0.2,全人類,NA,,213,1,63,1,3,60+
42165,HKG,Hong Kong,invalid,rule_A_only,3,NORMAL,,0,0,0,0,0,7.0,4.105839031757751,-0.2,NA,想不到,,213,1,48,0,3,40-49
42169,HKG,Hong Kong,invalid,rule_A_only,0,NORMAL,,0,0,0,0,0,7.0,6.369779750319625,0.7745966692414834,NA,-99,,213,1,28,0,4,18-29
42172,HKG,Hong Kong,invalid,rule_A_only,4,NORMAL,,0,0,0,0,0,3.0,5.835058665941384,0.2,NA,數據分析,,213,1,35,1,4,30-39
42173,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,6.0,6.760362087865525,0.5813183589761798,人類,NA,,213,1,22,0,4,18-29
42174,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,9.0,5.569227476420989,0.7071067811865476,市民,NA,,213,1,26,0,4,18-29
42175,HKG,Hong Kong,invalid,rule_A_only,4,NORMAL,,0,0,0,0,0,12.0,6.979770376463424,0.0,NA,科研成果,,213,1,53,1,4,50-59
42179,HKG,Hong Kong,invalid,rule_A_only,4,NORMAL,,0,0,0,0,0,11.0,4.7119819546912085,0.9284766908852594,NA,過往數據,,213,1,33,1,4,30-39
42180,HKG,Hong Kong,invalid,rule_A_only,5,NORMAL,,0,0,0,0,0,5.0,5.802332028028446,-0.34299717028501764,human,NA,,213,1,57,0,3,50-59
42185,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,5.0,4.9840783706744975,0.5773502691896257,人類,NA,,213,1,30,1,4,30-39
42190,HKG,Hong Kong,invalid,rule_A_only,5,NORMAL,,0,0,0,0,0,5.0,5.145163492414871,0.8944271909999159,Human,NA,,213,1,57,1,3,50-59
42195,HKG,Hong Kong,invalid,rule_A_only,3,NORMAL,,0,0,0,0,0,11.0,3.814869412525528,-0.2,NA,有證據,,213,1,58,0,3,50-59
42200,HKG,Hong Kong,invalid,rule_A_only,0,NORMAL,,0,0,0,0,0,9.0,4.052010345699527,0.25,NA,NA,,213,1,49,1,3,40-49
42201,HKG,Hong Kong,invalid,rule_A_only,1,NORMAL,,0,0,0,0,0,13.0,4.739743100543159,-0.5,無,NA,,213,1,38,1,3,30-39
42204,HKG,Hong Kong,invalid,rule_A_only,4,NORMAL,,0,0,0,0,0,4.0,5.971606397104879,,NA,good,,213,1,34,0,3,30-39
42206,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,12.0,4.887256577388463,0.4629100498862757,國家,NA,,213,1,50,0,4,50-59
42209,HKG,Hong Kong,invalid,rule_A_only,4,NORMAL,,0,0,0,0,0,6.0,3.782746155352281,-0.3333333333333333,沒有興趣,NA,,213,1,38,0,3,30-39
42212,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,5.0,4.343023056642882,-0.31622776601683794,公司,NA,,213,1,27,1,4,18-29
42215,HKG,Hong Kong,invalid,rule_A_only,5,NORMAL,,0,0,0,0,0,3.0,5.622360080838444,,NA,有數據支持,,213,1,35,1,4,30-39
42219,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,7.0,4.757318957060471,0.3333333333333333,NA,數據,,213,1,25,0,4,18-29
42221,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,7.0,4.15253008001492,,人類,NA,,213,1,30,1,3,30-39
42231,HKG,Hong Kong,invalid,rule_A_only,4,NORMAL,,0,0,0,0,0,6.0,4.178815025134344,,NA,解決問題,,213,1,56,1,3,50-59
42232,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,7.0,4.062286171896853,0.6324555320336759,NA,事實,,213,1,26,1,4,18-29
42237,HKG,Hong Kong,invalid,rule_A_only,5,NORMAL,,0,0,0,0,0,6.0,7.1969267477967875,-0.11043152607484653,NA,有數據支撐,,213,1,23,1,4,18-29
42241,HKG,Hong Kong,invalid,rule_A_only,4,NORMAL,,0,0,0,0,0,11.0,6.586713226682501,-0.722185380728474,NA,研究結果,,213,1,41,1,4,40-49
42244,HKG,Hong Kong,invalid,rule_A_only,5,NORMAL,,0,0,0,0,0,4.0,4.542697100063082,0.4472135954999579,NA,有實質驗證,,213,1,57,0,4,50-59
42248,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,16.0,6.58529199243667,0.125,人類,NA,,213,1,41,1,3,40-49
42258,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,14.0,9.397115053468221,0.9438798074485389,NA,文獻,,213,1,34,1,4,30-39
42260,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,13.0,4.66926490368175,,NA,實力,,213,1,40,1,4,40-49
42265,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,3.0,5.898074822113043,-0.34299717028501764,人類,NA,,213,1,58,0,3,50-59
42274,HKG,Hong Kong,invalid,rule_A_only,0,NORMAL,,0,0,0,0,0,12.0,4.399170301048105,,-99,NA,,213,1,21,1,4,18-29
42282,HKG,Hong Kong,invalid,rule_A_only,3,NORMAL,,0,0,0,0,0,3.0,5.964286490099977,0.2,科學家,NA,,213,1,39,1,4,30-39
42283,HKG,Hong Kong,invalid,rule_A_only,3,NORMAL,,0,0,0,0,0,10.0,3.0758512747277136,1.0,NA,有貢獻,,213,1,39,1,4,30-39
42286,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,7.0,3.1311536266520656,,大眾,NA,,213,1,39,0,4,30-39
42287,HKG,Hong Kong,invalid,rule_A_only,5,NORMAL,,0,0,0,0,0,5.0,4.987059338056611,0.17149858514250882,NA,專業、真實,,213,1,50,1,4,50-59
42289,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,7.0,4.971977753929456,-0.31622776601683794,人民,NA,,213,1,25,1,4,18-29
42291,HKG,Hong Kong,invalid,rule_A_only,1,NORMAL,,0,0,0,0,0,12.0,8.958437567814482,-0.31622776601683794,NA,x,,213,1,65,1,3,60+
42298,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,10.0,6.438574703118004,,人類,NA,,213,1,57,0,3,50-59
42301,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,5.0,5.702826020515547,-0.242535625036333,No,NA,,213,1,53,1,3,50-59
42305,HKG,Hong Kong,invalid,rule_A_only,5,NORMAL,,0,0,0,0,0,6.0,4.721131426970452,-0.3333333333333333,human,NA,,213,1,34,0,4,30-39
42306,HKG,Hong Kong,invalid,rule_A_only,5,NORMAL,,0,0,0,0,0,11.0,7.675802494327127,0.6757246285173463,富農 地主,NA,,213,1,31,1,4,30-39
42310,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,4.0,8.392538538152095,-0.13957263155977062,NA,態度,,213,1,21,0,4,18-29
42322,HKG,Hong Kong,invalid,rule_A_only,5,NORMAL,,0,0,0,0,0,4.0,4.674282745253884,0.7592566023652966,NA,有實驗數據,,213,1,35,1,4,30-39
42327,HKG,Hong Kong,invalid,rule_A_only,0,NORMAL,,0,0,0,0,0,12.0,4.235622130527678,0.0,-99,NA,,213,1,44,1,4,40-49
42328,HKG,Hong Kong,invalid,rule_A_only,3,NORMAL,,0,0,0,0,0,12.0,2.910071098084122,0.2,受益人,NA,,213,1,43,0,3,40-49
42334,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,12.0,3.5658712494275915,,NA,沒有,,213,1,40,0,4,40-49
42341,HKG,Hong Kong,invalid,rule_A_only,5,NORMAL,,0,0,0,0,0,5.0,6.252039884442213,-0.15811388300841897,NA,有真憑實據,,213,1,37,1,4,30-39
42342,HKG,Hong Kong,invalid,rule_A_only,4,NORMAL,,0,0,0,0,0,10.0,3.6283482890040255,0.4629100498862757,NA,勇於實驗,,213,1,31,1,4,30-39
42345,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,7.0,4.638833851706314,-0.5,人民,NA,,213,1,39,0,4,30-39
42346,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,10.0,3.7696079941081804,,NA,可靠,,213,1,40,1,4,40-49
42352,HKG,Hong Kong,invalid,rule_A_only,0,NORMAL,,0,0,0,0,0,10.0,3.789382051778042,0.25,NA,-99,,213,1,59,1,3,50-59
42356,HKG,Hong Kong,invalid,rule_A_only,3,NORMAL,,0,0,0,0,0,12.0,3.9617048970796156,,沒想到,NA,,213,1,40,0,3,40-49
42359,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,13.0,5.087805987899318,0.4472135954999579,NA,no,,213,1,40,1,3,40-49
42360,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,5.0,5.335949311937047,0.0,"藥廠
",NA,,213,1,32,0,4,30-39
42364,HKG,Hong Kong,invalid,rule_A_only,3,NORMAL,,0,0,0,0,0,13.0,7.109820603454079,0.0,"有錢人
",NA,,213,1,32,0,4,30-39
42368,HKG,Hong Kong,invalid,rule_A_only,1,NORMAL,,0,0,0,0,0,6.0,6.210937797312178,0.34299717028501764,人,NA,,213,1,37,0,4,30-39
42370,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,11.0,4.580942120367992,0.6123724356957946,人類,NA,,213,1,28,1,4,18-29
42371,HKG,Hong Kong,invalid,rule_A_only,4,NORMAL,,0,0,0,0,0,7.0,4.547196607919501,0.25,NA,REAL,,213,1,29,1,4,18-29
42378,HKG,Hong Kong,invalid,rule_A_only,3,NORMAL,,0,0,0,0,0,6.0,5.758327210015228,0.5855400437691199,不知道,NA,,213,1,30,0,4,30-39
42379,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,4.0,5.836822568472981,0.0,NA,沒有,,213,1,29,1,4,18-29
42382,HKG,Hong Kong,invalid,rule_A_only,5,NORMAL,,0,0,0,0,0,10.0,7.150769876385885,-0.2,NA,科學變現實,,213,1,30,0,4,30-39
42397,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,4.0,5.714559885427168,0.0,人類,NA,,213,1,45,1,3,40-49
42398,HKG,Hong Kong,invalid,rule_A_only,3,NORMAL,,0,0,0,0,0,12.0,3.835930761428394,0.31622776601683794,科學家,NA,,213,1,42,1,3,40-49
42400,HKG,Hong Kong,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,5.0,5.483656723861978,0.08304547985373997,政府,NA,,213,1,22,0,4,18-29
